codigo_dane,nombre,latitud,longitud,region
5,ANTIOQUIA,6.702032125,-75.50455704,Centro Sur
15,BOYACÁ,5.891672889,-72.62788054,Centro Oriente
8,ATLÁNTICO,10.67700953,-74.96521949,Caribe
11,"BOGOTÁ, D.C.",4.316107698,-74.1810727,Centro Oriente
13,BOLÍVAR,8.079796863,-74.23514814,Caribe
17,CALDAS,5.280139978,-75.27498304,Eje Cafetero - Antioquia
18,CAQUETÁ,0.798556195,-73.95946756,Centro Sur
19,CAUCA,2.396833887,-76.82423283,Pacífico
20,CESAR,9.53665993,-73.51783154,Caribe
23,CÓRDOBA,8.358549754,-75.79200872,Caribe
25,CUNDINAMARCA,4.771120716,-74.43111092,Centro Oriente
27,CHOCÓ,5.397581542,-76.942811,Pacífico
41,HUILA,2.570143029,-75.58434836,Centro Sur
44,LA GUAJIRA,11.47687008,-75.58434836,Caribe
47,MAGDALENA,10.24738355,-74.26175733,Caribe
50,META,3.345562732,-72.95645988,Llano
52,NARIÑO,1.571094987,-77.87020496,Pacífico
54,NORTE DE SANTANDER,8.09513751,-72.88188297,Centro Oriente
63,QUINDÍO,4.455241567,-75.68962853,Eje Cafetero - Antioquia
66,RISARALDA,5.240757239,-76.00244469,Eje Cafetero - Antioquia
68,SANTANDER,6.693633184,-73.48600894,Centro Oriente
70,SUCRE,9.064941448,-75.10981755,Caribe
73,TOLIMA,4.03477252,-75.2558271,Centro Sur
76,VALLE DEL CAUCA,3.569858693,-76.62850427,Pacífico
81,ARAUCA,6.569577215,-70.96732394,Llano
85,CASANARE,5.404064237,-71.60188073,Llano
86,PUTUMAYO,0.3673031,-75.51406183,Centro Sur
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12.54311512,-81.71762382,Caribe
91,AMAZONAS,-1.54622768,-71.50212858,Eje Cafetero - Antioquia
94,GUAINÍA,2.727842865,-68.81661272,Llano
95,GUAVIARE,1.924531973,-72.12859569,Llano
97,VAUPÉS,0.64624561,-70.56140566,Llano
99,VICHADA,4.713557125,-69.41400011,Llano
